code,name,orgId,status,pages,chars,carbon_kw,action_kw,soft_kw,carbon_num,env_head,biz,sec
000078,海王生物,gssz0000078,ok,270,260024,0,0,6,,环境信息|社会责任情况,医药|TMT/电子|消费|地产建筑,18.3
000677,恒天海龙,gssz0000677,ok,155,129350,5,5,7,,环境信息|社会责任情况,TMT/电子|消费,15.2
000793,*ST华闻,gssz0000793,ok,232,221966,0,0,5,,环境信息|社会责任情况,TMT/电子,19.8
000858,五 粮 液,gssz0000858,ok,141,149842,0,0,3,,环境信息|社会责任情况,消费|地产建筑,12.8
000892,欢瑞世纪,gssz0000892,ok,152,156755,0,0,4,,环境信息|社会责任情况,TMT/电子,13.6
000981,山子高科,gssz0000981,ok,224,213534,0,0,3,,环境信息|社会责任情况,TMT/电子|消费|地产建筑,19.1
002031,巨轮智能,gssz0002031,ok,204,178983,1,14,6,,环境信息|社会责任情况,TMT/电子|地产建筑,17.3
002082,万邦德,9900001284,ok,200,219724,0,2,8,,环境信息|社会责任情况,医药|TMT/电子|消费|地产建筑,16.6
002109,兴化股份,9900002009,ok,188,181688,2,14,5,,环境信息|社会责任情况,化工|消费|地产建筑,19.0
002198,嘉应制药,9900003905,ok,212,171636,0,0,3,,环境信息|社会责任情况,医药|TMT/电子,15.5
002269,美邦服饰,9900005143,ok,165,141086,1,0,2,,环境信息|社会责任情况,TMT/电子|消费,12.5
002310,东方新能,9900009031,ok,233,178707,8,9,19,,环境信息|社会责任情况,能源电力|TMT/电子|地产建筑,14.3
002368,太极股份,9900010929,ok,260,235634,0,0,2,,环境信息|社会责任情况,TMT/电子|地产建筑,24.6
002486,嘉麟杰,9900014995,ok,215,177269,4,19,16,,环境信息|社会责任情况,化工|TMT/电子|消费,16.3
002514,宝馨科技,9900016129,ok,253,207608,8,7,17,,环境信息|社会责任情况,TMT/电子|消费|地产建筑,19.2
002602,世纪华通,9900021007,ok,255,241927,0,2,9,,环境信息|社会责任情况,TMT/电子,23.9
002605,姚记科技,9900021171,ok,227,202190,0,0,4,,环境信息|社会责任情况,TMT/电子,22.2
002609,捷顺科技,9900021238,ok,181,185316,3,16,10,,环境信息|社会责任情况,TMT/电子,18.5
002663,普邦股份,9900022158,ok,221,190768,0,4,10,,环境信息|社会责任情况,TMT/电子|地产建筑,22.2
002667,威领股份,9900022274,ok,226,185912,4,5,6,,环境信息|社会责任情况,钢铁建材|TMT/电子,11.9
002808,*ST恒久,9900010487,ok,197,173102,1,0,3,,环境信息|社会责任情况,TMT/电子|地产建筑,11.2
002828,贝肯能源,9900028824,ok,165,164979,4,16,23,,环境信息|社会责任情况,TMT/电子|地产建筑,14.4
002883,中设股份,9900031776,ok,237,199000,1,15,10,,环境信息|社会责任情况,钢铁建材|TMT/电子|地产建筑,16.8
002898,*ST赛隆,9900032573,ok,230,189183,0,2,6,,环境信息|社会责任情况,医药|TMT/电子|消费,12.8
002989,中天精装,9900034522,ok,234,233401,0,0,10,,环境信息|社会责任情况,TMT/电子|消费|地产建筑,20.4
300010,豆神教育,9900008267,ok,228,204360,0,0,3,,环境信息|社会责任情况,TMT/电子|消费,13.2
300029,*ST天龙,9900009118,ok,182,133131,3,1,2,,环境信息|社会责任情况,能源电力|TMT/电子|地产建筑,9.7
300076,GQY视讯,9900011370,ok,206,199356,0,4,7,,环境信息|社会责任情况,TMT/电子|消费|地产建筑,17.7
300094,国联水产,9900012529,ok,196,173721,0,0,6,,环境信息|社会责任情况,TMT/电子|消费,18.6
300167,ST迪威迅,9900016311,ok,217,161446,2,1,5,,环境信息|社会责任情况,TMT/电子|消费|地产建筑,14.8
300352,北信源,9900022471,ok,261,262664,0,0,7,,环境信息|社会责任情况,TMT/电子|地产建筑,22.9
300396,迪瑞医疗,9900022681,ok,221,214664,1,3,15,,环境信息|社会责任情况,医药|TMT/电子,21.0
300430,诚益通,9900023829,ok,227,205137,3,13,14,,环境信息|社会责任情况,医药|TMT/电子|消费,18.1
300560,中富通,9900029016,ok,250,214563,1,4,8,,环境信息|社会责任情况,TMT/电子|地产建筑,17.3
300572,安车检测,9900028813,ok,197,222415,1,0,2,,环境信息|社会责任情况,TMT/电子,14.4
300716,ST泉为,9900034391,ok,255,226975,0,3,9,,环境信息|社会责任情况,化工|TMT/电子|地产建筑,14.8
301030,仕净科技,gfbj0835710,ok,264,210806,12,56,10,,环境信息|社会责任情况,钢铁建材|化工|TMT/电子|地产建筑,10.6
301152,天力锂能,gfbj0833757,ok,264,208640,3,5,14,,环境信息|社会责任情况,TMT/电子,18.8
600009,上海机场,gssh0600009,ok,187,187367,1,1,5,,环境信息,化工|TMT/电子|消费|地产建筑,16.8
600072,中船科技,gssh0600072,ok,329,334497,9,4,6,,环境信息,能源电力|化工|TMT/电子|地产建筑,29.1
600076,康欣新材,gssh0600076,ok,228,179993,11,7,7,,环境信息,TMT/电子|消费|地产建筑,15.1
600107,ST尔雅,gssh0600107,ok,243,176445,0,1,9,,环境信息,消费,15.4
600117,西宁特钢,gssh0600117,ok,261,236503,3,19,10,,环境信息,钢铁建材|地产建筑,20.2
600150,中国船舶,gssh0600150,ok,258,297848,4,14,19,,环境信息,钢铁建材|化工|TMT/电子|地产建筑,26.2
600158,中体产业,gssh0600158,ok,198,178158,0,0,7,,环境信息,TMT/电子|消费|地产建筑,16.6
600187,国中水务,gssh0600187,ok,208,192481,9,22,7,,环境信息,化工|TMT/电子|消费|地产建筑,17.5
600208,衢州发展,gssh0600208,ok,219,205255,1,4,22,,环境信息,化工|TMT/电子|消费|地产建筑,18.9
600212,绿能慧充,gssh0600212,ok,220,194185,1,1,7,,环境信息,钢铁建材|TMT/电子|地产建筑,16.3
600229,城市传媒,gssh0600229,ok,214,187461,0,0,7,,环境信息,TMT/电子|消费,16.6
600238,*ST椰岛,gssh0600238,ok,222,168561,0,2,5,,环境信息|环保情况,消费|地产建筑,12.6
600246,万通发展,gssh0600246,ok,229,205120,0,1,7,,环境信息,TMT/电子|地产建筑,18.0
600248,陕建股份,gssh0600248,ok,393,434968,18,34,12,,环境信息,能源电力|TMT/电子|地产建筑,39.7
600302,标准股份,gssh0600302,ok,184,166471,0,1,6,,环境信息,TMT/电子|消费,13.9
600322,津投城开,gssh0600322,ok,208,183985,0,0,6,,环境信息,消费|地产建筑,16.0
600328,中盐化工,gssh0600328,ok,275,238423,8,30,11,,环境信息,医药|钢铁建材|化工|TMT/电子|消费,20.3
600337,美克家居,gssh0600337,ok,350,211142,0,0,8,,环境信息,TMT/电子|消费,18.5
600340,华夏幸福,gssh0600340,ok,372,383337,3,4,17,,环境信息,TMT/电子|消费|地产建筑,34.0
600354,敦煌种业,gssh0600354,ok,167,158927,0,1,6,,环境信息,消费,15.2
600363,联创光电,gssh0600363,ok,220,219557,1,7,15,,环境信息,TMT/电子|消费|地产建筑,18.8
600381,*ST春天,gssh0600381,ok,226,166733,0,1,11,,环境信息,医药|TMT/电子|消费,14.4
600392,盛和资源,gssh0600392,ok,259,212848,0,5,7,,环境信息,其他,18.8
600396,华电辽能,gssh0600396,ok,207,174476,12,7,8,,环境信息,能源电力|TMT/电子,15.0
600400,红豆股份,gssh0600400,ok,192,201326,0,0,6,,环境信息,TMT/电子|消费,18.4
600406,国电南瑞,gssh0600406,ok,306,281172,2,10,10,,环境信息,能源电力|TMT/电子|地产建筑,21.5
600436,片仔癀,gssh0600436,ok,300,223546,1,6,9,,环境信息,医药|化工|消费|地产建筑,19.0
600438,通威股份,gssh0600438,ok,254,250095,7,7,24,324.26万吨,环境信息,能源电力|化工|TMT/电子|消费|地产建筑,23.1
600482,中国动力,gssh0600482,ok,294,295859,2,16,7,,环境信息,化工|TMT/电子|地产建筑,25.3
600491,龙元建设,gssh0600491,ok,245,226094,14,13,7,,环境信息,TMT/电子|地产建筑,19.9
600517,国网英大,gssh0600517,ok,238,233821,34,27,16,"4,175吨;1.82万吨",环境信息,TMT/电子,20.8
600521,华海药业,gssh0600521,ok,254,220581,0,1,11,,环境信息,医药|TMT/电子|消费,18.5
600540,新赛股份,gssh0600540,ok,205,175364,0,6,5,,环境信息,化工|TMT/电子|消费,15.3
600567,山鹰国际,gssh0600567,ok,218,223262,6,9,10,,环境信息,医药|TMT/电子|消费|地产建筑,19.5
600587,新华医疗,gssh0600587,ok,289,224893,0,9,8,,环境信息,医药|TMT/电子|消费|地产建筑,20.0
600599,*ST熊猫,gssh0600599,ok,183,155466,0,1,5,,环境信息,消费|地产建筑,13.2
600608,*ST沪科,gssh0600608,ok,214,166267,0,0,7,,环境信息,TMT/电子|消费|地产建筑,11.5
600620,天宸股份,gssh0600620,ok,164,151918,0,1,5,,环境信息,地产建筑,14.2
600624,ST复华,gssh0600624,ok,195,201790,5,9,16,,环境信息,医药|TMT/电子|消费|地产建筑,18.3
600636,*ST国化,gssh0600636,ok,181,145775,0,0,7,,环境信息,TMT/电子,11.4
600643,爱建集团,gssh0600643,ok,278,210384,0,3,15,,环境信息,TMT/电子|消费,17.7
600653,申华控股,gssh0600653,ok,167,167610,0,0,5,,环境信息,能源电力|TMT/电子|消费|地产建筑,14.1
600682,南京新百,gssh0600682,ok,341,298299,0,1,12,,环境信息,医药|TMT/电子|消费|地产建筑,26.5
600696,*ST岩石,gssh0600696,ok,197,159414,0,0,6,,环境信息,化工|TMT/电子|消费|地产建筑,14.3
600745,闻泰科技,gssh0600745,ok,355,264312,5,8,14,,环境信息,能源电力|TMT/电子|消费,25.2
600779,水井坊,gssh0600779,ok,192,144691,0,3,16,,环境信息,TMT/电子|消费,12.6
600783,鲁信创投,gssh0600783,ok,217,186243,0,4,8,,环境信息,医药|TMT/电子,17.0
600807,济高发展,gssh0600807,ok,204,184631,0,0,8,,环境信息,医药|钢铁建材|TMT/电子|消费|地产建筑,15.9
600844,金煤科技,gssh0600844,ok,198,160830,6,4,8,,环境信息,化工|TMT/电子,15.0
600847,万里股份,gssh0600847,ok,168,115594,0,2,6,,环境信息,TMT/电子|消费,10.6
600850,电科数字,gssh0600850,ok,217,202359,0,1,8,,环境信息,医药|TMT/电子|地产建筑,17.5
600884,杉杉股份,gssh0600884,ok,189,193629,1,0,10,,环境信息,化工|TMT/电子|消费,18.1
600887,伊利股份,gssh0600887,ok,259,238276,2,1,33,,环境信息,消费,19.4
600892,*ST大晟,gssh0600892,ok,203,158780,0,0,5,,环境信息,TMT/电子|消费,13.8
600897,厦门空港,gssh0600897,ok,185,151811,0,0,7,,环境信息,TMT/电子|消费,13.8
600900,长江电力,gssh0600900,ok,259,244712,5,15,19,,环境信息,能源电力|TMT/电子|消费|地产建筑,21.3
600905,三峡能源,9900016549,ok,306,324388,44,23,28,,环境信息,能源电力|钢铁建材|TMT/电子|地产建筑,29.0
600933,爱柯迪,gfbj0834393,ok,260,231188,0,22,13,,环境信息,TMT/电子,21.0
600965,福成股份,gssh0600965,ok,228,193011,0,2,9,,环境信息,钢铁建材|TMT/电子|消费|地产建筑,15.7
600996,贵广网络,9900030438,ok,216,205886,0,5,10,,环境信息,TMT/电子|地产建筑,15.6
601003,柳钢股份,9900002182,ok,187,178423,4,10,5,,环境信息,钢铁建材|TMT/电子|地产建筑,15.9
601006,大秦铁路,9900000261,ok,221,194278,1,1,8,,环境信息,能源电力|TMT/电子|地产建筑,15.2
601106,中国一重,9900010530,ok,247,199753,0,1,5,,环境信息,钢铁建材|化工|TMT/电子|地产建筑,18.2
