code,name,industry,sector,carbon_kw,soft_kw,action_kw,pages,carbon_num
000078,海王生物,医药商业,Healthcare & Pharma,0,6,0,270,
000677,恒天海龙,化学纤维,Chemicals,5,7,5,155,
000793,*ST华闻,出版,TMT & Electronics,0,5,0,232,
000858,五 粮 液,白酒Ⅱ,Consumer,0,3,0,141,
000892,欢瑞世纪,影视院线,TMT & Electronics,0,4,0,152,
000981,山子高科,汽车零部件,Consumer,0,3,0,224,
002031,巨轮智能,专用设备,Industrials,1,6,14,204,
002082,万邦德,化学制药,Chemicals,0,8,2,200,
002109,兴化股份,化学原料,Chemicals,2,5,14,188,
002198,嘉应制药,中药Ⅱ,Healthcare & Pharma,0,3,0,212,
002269,美邦服饰,服装家纺,Consumer,1,2,0,165,
002310,东方新能,电力,Energy & Utilities,8,19,9,233,
002368,太极股份,IT服务Ⅱ,TMT & Electronics,0,2,0,260,
002486,嘉麟杰,服装家纺,Consumer,4,16,19,215,
002514,宝馨科技,通用设备,Industrials,8,17,7,253,
002602,世纪华通,游戏Ⅱ,TMT & Electronics,0,9,2,255,
002605,姚记科技,游戏Ⅱ,TMT & Electronics,0,4,0,227,
002609,捷顺科技,IT服务Ⅱ,TMT & Electronics,3,10,16,181,
002663,普邦股份,基础建设,Real Estate & Construction,0,10,4,221,
002667,威领股份,专用设备,Industrials,4,6,5,226,
002808,*ST恒久,,Other,1,3,0,197,
002828,贝肯能源,油服工程,Chemicals,4,23,16,165,
002883,中设股份,工程咨询服务Ⅱ,Other,1,10,15,237,
002898,*ST赛隆,,Other,0,6,2,230,
002989,中天精装,装修装饰Ⅱ,Real Estate & Construction,0,10,0,234,
300010,豆神教育,教育,Consumer,0,3,0,228,
300029,*ST天龙,,Other,3,2,1,182,
300076,GQY视讯,光学光电子,TMT & Electronics,0,7,4,206,
300094,国联水产,渔业,Agriculture,0,6,0,196,
300167,ST迪威迅,IT服务Ⅱ,TMT & Electronics,2,5,1,217,
300352,北信源,软件开发,TMT & Electronics,0,7,0,261,
300396,迪瑞医疗,医疗器械,Healthcare & Pharma,1,15,3,221,
300430,诚益通,医疗器械,Healthcare & Pharma,3,14,13,227,
300560,中富通,通信服务,TMT & Electronics,1,8,4,250,
300572,安车检测,通用设备,Industrials,1,2,0,197,
300716,ST泉为,塑料,Chemicals,0,9,3,255,
301030,仕净科技,环保设备Ⅱ,Other,12,10,56,264,
301152,天力锂能,电池,Energy & Utilities,3,14,5,264,
600009,上海机场,航空机场,Industrials,1,5,1,187,
600072,中船科技,风电设备,Energy & Utilities,9,6,4,329,
600076,康欣新材,包装印刷,Other,11,7,7,228,
600107,ST尔雅,服装家纺,Consumer,0,9,1,243,
600117,西宁特钢,特钢Ⅱ,Other,3,10,19,261,
600150,中国船舶,航海装备Ⅱ,Other,4,19,14,258,
600158,中体产业,体育Ⅱ,Other,0,7,0,198,
600187,国中水务,环境治理,Other,9,7,22,208,
600208,衢州发展,房地产开发,Real Estate & Construction,1,22,4,219,
600212,绿能慧充,其他电源设备Ⅱ,Other,1,7,1,220,
600229,城市传媒,出版,TMT & Electronics,0,7,0,214,
600238,*ST椰岛,非白酒,Consumer,0,5,2,222,
600246,万通发展,房地产开发,Real Estate & Construction,0,7,1,229,
600248,陕建股份,房屋建设Ⅱ,Real Estate & Construction,18,12,34,393,
600302,标准股份,专用设备,Industrials,0,6,1,184,
600322,津投城开,房地产服务,Real Estate & Construction,0,6,0,208,
600328,中盐化工,化学原料,Chemicals,8,11,30,275,
600337,美克家居,家居用品,Consumer,0,8,0,350,
600340,华夏幸福,房地产开发,Real Estate & Construction,3,17,4,372,
600354,敦煌种业,种植业,Agriculture,0,6,1,167,
600363,联创光电,消费电子,TMT & Electronics,1,15,7,220,
600381,*ST春天,食品加工,Consumer,0,11,1,226,
600392,盛和资源,小金属,Steel & Materials,0,7,5,259,
600396,华电辽能,电力,Energy & Utilities,12,8,7,207,
600400,红豆股份,服装家纺,Consumer,0,6,0,192,
600406,国电南瑞,电网设备,Energy & Utilities,2,10,10,306,
600436,片仔癀,中药Ⅱ,Healthcare & Pharma,1,9,6,300,
600438,通威股份,光伏设备,Energy & Utilities,7,24,7,254,324.26万吨
600482,中国动力,其他电源设备Ⅱ,Other,2,7,16,294,
600491,龙元建设,房屋建设Ⅱ,Real Estate & Construction,14,7,13,245,
600517,国网英大,多元金融,Financials,34,16,27,238,"4,175吨;1.82万吨"
600521,华海药业,化学制药,Chemicals,0,11,1,254,
600540,新赛股份,种植业,Agriculture,0,5,6,205,
600567,山鹰国际,造纸,Other,6,10,9,218,
600587,新华医疗,医疗器械,Healthcare & Pharma,0,8,9,289,
600599,*ST熊猫,,Other,0,5,1,183,
600608,*ST沪科,,Other,0,7,0,214,
600620,天宸股份,综合Ⅱ,Other,0,5,1,164,
600624,ST复华,化学制药,Chemicals,5,16,9,195,
600636,*ST国化,,Other,0,7,0,181,
600643,爱建集团,多元金融,Financials,0,15,3,278,
600653,申华控股,汽车服务,Consumer,0,5,0,167,
600682,南京新百,综合Ⅱ,Other,0,12,1,341,
600696,*ST岩石,,Other,0,6,0,197,
600745,闻泰科技,半导体,TMT & Electronics,5,14,8,355,
600779,水井坊,白酒Ⅱ,Consumer,0,16,3,192,
600783,鲁信创投,通用设备,Industrials,0,8,4,217,
600807,济高发展,医疗器械,Healthcare & Pharma,0,8,0,204,
600844,金煤科技,化学原料,Chemicals,6,8,4,198,
600847,万里股份,电池,Energy & Utilities,0,6,2,168,
600850,电科数字,IT服务Ⅱ,TMT & Electronics,0,8,1,217,
600884,杉杉股份,电池,Energy & Utilities,1,10,0,189,
600887,伊利股份,饮料乳品,Consumer,2,33,1,259,
600892,*ST大晟,游戏Ⅱ,TMT & Electronics,0,5,0,203,
600897,厦门空港,航空机场,Industrials,0,7,0,185,
600900,长江电力,电力,Energy & Utilities,5,19,15,259,
600905,三峡能源,电力,Energy & Utilities,44,28,23,306,
600933,爱柯迪,汽车零部件,Consumer,0,13,22,260,
600965,福成股份,养殖业,Other,0,9,2,228,
600996,贵广网络,电视广播Ⅱ,Other,0,10,5,216,
601003,柳钢股份,普钢,Other,4,5,10,187,
601006,大秦铁路,铁路公路,Other,1,8,1,221,
601106,中国一重,专用设备,Industrials,0,5,1,247,
601162,天风证券,证券Ⅱ,Financials,2,15,4,230,
601187,厦门银行,银行Ⅱ,Financials,2,18,5,273,
601222,林洋能源,电网设备,Energy & Utilities,14,15,10,229,
601666,平煤股份,煤炭开采,Energy & Utilities,2,8,29,297,
601696,中银证券,证券Ⅱ,Financials,0,8,0,228,
603021,ST华鹏,家居用品,Consumer,4,4,9,192,
603023,威帝股份,汽车零部件,Consumer,1,5,2,198,
603027,千禾味业,调味发酵品Ⅱ,Other,0,6,1,190,
603030,全筑股份,装修装饰Ⅱ,Real Estate & Construction,0,5,16,219,
603051,鹿山新材,化学制品,Chemicals,3,18,10,227,
603052,可川科技,消费电子,TMT & Electronics,0,4,0,171,
603128,华贸物流,物流,Other,0,11,3,251,
603189,网达软件,软件开发,TMT & Electronics,0,6,0,189,
603195,公牛集团,家居用品,Consumer,1,10,2,204,
603212,赛伍技术,光伏设备,Energy & Utilities,1,8,5,261,
603215,比依股份,小家电,Consumer,1,14,7,231,
603280,南方路机,工程机械,Industrials,19,12,23,269,
603290,斯达半导,半导体,TMT & Electronics,4,7,6,213,
603323,苏农银行,银行Ⅱ,Financials,0,18,1,177,
603358,华达科技,汽车零部件,Consumer,0,6,1,204,
603368,柳药集团,医药商业,Healthcare & Pharma,0,10,2,269,
603378,亚士创能,装修建材,Steel & Materials,2,8,62,220,
603387,基蛋生物,医疗器械,Healthcare & Pharma,0,9,0,235,
603389,*ST亚振,家居用品,Consumer,0,7,2,231,
603398,*ST沐邦,光伏设备,Energy & Utilities,2,5,1,248,
603528,多伦科技,软件开发,TMT & Electronics,1,5,0,190,
603535,嘉诚国际,物流,Other,0,6,0,280,
603567,珍宝岛,中药Ⅱ,Healthcare & Pharma,0,11,3,259,
603580,*ST艾艾,塑料,Chemicals,0,5,4,176,
603609,禾丰股份,饲料,Other,0,14,7,265,
603628,清源股份,光伏设备,Energy & Utilities,14,9,10,236,
603636,南威软件,IT服务Ⅱ,TMT & Electronics,0,7,0,262,
603661,恒林股份,家居用品,Consumer,3,25,3,246,
603668,天马科技,饲料,Other,3,18,14,303,
603690,至纯科技,半导体,TMT & Electronics,0,6,0,331,
603707,健友股份,化学制药,Chemicals,0,6,2,233,
603711,香飘飘,饮料乳品,Consumer,0,9,0,196,
603717,天域生物,基础建设,Real Estate & Construction,1,8,0,240,
603718,海利生物,医疗器械,Healthcare & Pharma,0,13,9,249,
603759,海天股份,环境治理,Other,4,9,9,300,
603800,洪田股份,专用设备,Industrials,0,10,1,228,
603801,志邦家居,家居用品,Consumer,3,15,6,246,
603818,曲美家居,家居用品,Consumer,0,4,1,213,
603843,*ST正平,基础建设,Real Estate & Construction,0,9,5,309,
603880,南卫股份,医疗器械,Healthcare & Pharma,1,5,2,175,
603898,好莱客,家居用品,Consumer,0,8,2,240,
603927,中科软,软件开发,TMT & Electronics,0,9,0,213,
603978,深圳新星,金属新材料,Steel & Materials,12,7,7,256,
603989,艾华集团,元件,TMT & Electronics,1,15,2,227,
605008,长鸿高科,塑料,Chemicals,2,7,7,236,
605081,*ST太和,,Other,2,15,3,240,
